date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades
2026-03-16,A,10021.496021,21.496021,0.0,21.496021,0.0,0,20021.496021,21.496021,0.0,21.496021,0.0,0
2026-03-16,B,11575.890703,1575.890703,0.0,1575.890703,0.0,0,21575.890703,1575.890703,0.0,1575.890703,0.0,0
2026-03-16,C,21455.769907,11455.769907,7645.164583,3810.605324,72.7273,11,31455.769907,11455.769907,7645.164583,3810.605324,72.7273,11
2026-03-16,D,8266.896178,-1733.103822,-1884.755317,151.651494,0.0,11,8266.896178,-11733.103822,-1884.755317,151.651494,0.0,11
2026-03-17,A,10287.868999,287.868999,264.067692,23.801307,44.8276,29,20287.868999,287.868999,264.067692,23.801307,44.8276,29
2026-03-17,B,10717.613577,717.613577,0.0,717.613577,0.0,0,20717.613577,717.613577,0.0,717.613577,0.0,0
2026-03-17,C,17487.557448,7487.557448,5926.569296,1560.988153,47.8261,23,27487.557448,7487.557448,5926.569296,1560.988153,47.8261,23
2026-03-17,D,8786.823132,-1213.176868,-1570.42041,357.243541,31.3725,51,8786.823132,-11213.176868,-1570.42041,357.243541,31.3725,51
2026-03-18,A,9031.898633,-968.101367,-968.101367,0.0,23.4375,64,19031.898633,-968.101367,-968.101367,0.0,23.4375,64
2026-03-18,B,8578.137902,-1421.862098,-1421.862098,0.0,0.0,3,18578.137902,-1421.862098,-1421.862098,0.0,0.0,3
2026-03-18,C,16643.98016,6643.98016,6643.98016,0.0,38.2353,34,26643.98016,6643.98016,6643.98016,0.0,38.2353,34
2026-03-18,D,10056.995256,56.995256,56.995256,0.0,41.1765,68,10056.995256,-9943.004744,56.995256,0.0,41.1765,68
