date,A,B,C,D
2026-03-16,21.496021,1575.890703,11455.769907,-1733.103822
2026-03-17,287.868999,717.613577,7487.557448,-1213.176868
2026-03-18,-968.101367,-1421.862098,6643.98016,56.995256
2026-03-19,-748.194269,-2095.2209,1240.578261,2515.609184
2026-03-20,-422.923319,1561.287857,-466.63271,-97.500276
2026-03-21,688.566984,864.84759,-3184.14251,1404.600493
2026-03-22,-353.475652,195.625389,68.957113,-326.75435
2026-03-23,-353.475652,195.625389,68.957113,-326.75435
2026-03-24,-353.475652,195.625389,68.957113,-326.75435
2026-03-25,-353.475652,195.625389,68.957113,-326.75435
2026-03-26,0.0,0.0,0.0,0.0
2026-03-27,0.0,0.0,0.0,0.0
2026-03-28,-148.578233,1570.259734,2856.003337,172.466266
2026-03-29,3261.723916,-2876.542492,-2442.244644,2111.600183
2026-03-30,-2777.86019,8021.838752,1113.363569,-2670.871044
2026-03-31,-2261.976323,17989.232396,4428.552814,-4002.115931
2026-04-01,-3518.607354,48286.392349,3820.756161,-5340.992978
